enst_id	enst_pos	phastcons
ENST00000407010	116	0.7553333333333333
ENST00000407010	136	0.6666666666666666
ENST00000407010	316	0.7246666666666667
ENST00000407010	407	0.9773333333333333
ENST00000377462	152	0.641
ENST00000377462	273	0.9630000000000001
ENST00000448814	31	0.9966666666666667
ENST00000448814	43	1.0
ENST00000399881	911	1.0
ENST00000450979	42	0.0023333333333333335
ENST00000395473	302	0.0
ENST00000400897	355	0.9993333333333334
ENST00000400897	371	0.02266666666666667
ENST00000400897	377	0.001
ENST00000400897	439	0.0029999999999999996
ENST00000400897	577	0.823
ENST00000359593	247	0.6813333333333333
ENST00000359593	271	0.44
ENST00000359593	413	0.8653333333333334
ENST00000201586	33	0.015
ENST00000201586	51	0.0
ENST00000201586	93	0.0006666666666666666
ENST00000201586	268	0.008
ENST00000341872	190	0.9976666666666666
ENST00000313468	57	0.9979999999999999
ENST00000358373	265	1.0
ENST00000358373	302	1.0
ENST00000358373	512	0.6666666666666666
ENST00000358373	513	0.12666666666666668
ENST00000264568	254	1.0
ENST00000264568	369	1.0
ENST00000264568	371	0.33499999999999996
ENST00000229771	433	0.8863333333333333
ENST00000297350	104	0.8170000000000001
ENST00000377346	146	0.9966666666666667
ENST00000377346	150	0.5673333333333334
ENST00000377346	437	0.6803333333333333
ENST00000377346	456	0.9673333333333334
ENST00000377346	465	0.6663333333333333
ENST00000377346	487	0.4373333333333333
ENST00000377346	772	0.838
ENST00000251481	206	0.016333333333333335
ENST00000334456	224	0.21866666666666668
ENST00000588649	566	0.004
ENST00000588649	947	0.49466666666666664
ENST00000588649	1193	0.3216666666666667
ENST00000588649	1199	0.0
ENST00000262233	515	0.6669999999999999
ENST00000262233	749	0.021666666666666667
ENST00000549701	139	0.9940000000000001
ENST00000549701	141	1.0
ENST00000289361	227	0.38033333333333336
ENST00000367362	333	0.6736666666666666
ENST00000316724	462	0.050666666666666665
ENST00000316724	514	0.33466666666666667
ENST00000316724	532	0.5636666666666666
ENST00000340022	355	0.8953333333333333
ENST00000340022	415	0.9346666666666668
ENST00000340022	452	0.991
ENST00000340022	473	0.9359999999999999
ENST00000340022	623	1.0
ENST00000340022	682	0.999
ENST00000476238	72	0.020666666666666667
ENST00000476238	236	0.0
ENST00000476238	247	0.501
ENST00000380420	97	0.7096666666666667
ENST00000380420	106	0.9986666666666667
ENST00000380420	228	0.9893333333333333
ENST00000380420	232	0.999
ENST00000291565	125	0.948
ENST00000297988	115	0.6663333333333333
ENST00000297988	207	0.6663333333333333
ENST00000297988	214	0.6486666666666666
ENST00000297988	217	0.721
ENST00000297988	234	0.636
ENST00000222286	201	1.0
ENST00000303088	179	0.04066666666666666
ENST00000303088	251	1.0
ENST00000357639	583	0.0
ENST00000357639	620	0.017666666666666667
ENST00000302909	141	1.0
ENST00000351698	163	0.5433333333333333
ENST00000351698	216	0.5670000000000001
ENST00000351698	292	0.5459999999999999
ENST00000356924	59	1.0
ENST00000356924	125	0.9580000000000001
