ensembl_transcript_id	hgnc_symbol
ENST00000252015	TRPC4AP
ENST00000078445	CREB3L3
ENST00000216237	L3MBTL2
ENST00000162391	FOXJ2
ENST00000265965	SERGEF
ENST00000230449	EXOC2
ENST00000229335	AICDA
ENST00000259569	RANBP6
ENST00000210187	RAB26
ENST00000245304	RAP2A
ENST00000075120	SLC2A3
ENST00000241052	CAT
ENST00000225655	PFN1
ENST00000252321	KCNA5
ENST00000249007	RFPL3
ENST00000239830	CCDC77
ENST00000266079	PRPF6
ENST00000241125	GJA3
ENST00000216286	NID2
ENST00000222033	ZNRF4
ENST00000262971	PIAS4
ENST00000248975	YWHAH
ENST00000215906	ASPHD2
ENST00000215917	SRRD
ENST00000219548	STUB1
ENST00000205636	CMTM6
ENST00000262593	DOK5
ENST00000216223	IL2RB
ENST00000255305	XPO4
ENST00000253354	BPIFB1
ENST00000242057	AHR
ENST00000259963	FAM8A1
ENST00000249071	RAC2
ENST00000267484	RTN1
ENST00000216923	ZFP64
ENST00000263182	BBOX1
ENST00000242261	TWIST1
ENST00000157600	LMCD1
ENST00000221494	SF3A2
ENST00000217086	SALL4
ENST00000222823	NOD1
ENST00000225698	C1QBP
ENST00000217958	PSMD10
ENST00000222584	SP4
ENST00000222573	ITGB8
ENST00000215829	SNRPD3
ENST00000216513	SIX4
ENST00000228811	PRR4
ENST00000262958	GNA15
ENST00000258729	IGF2BP3
ENST00000218249	RAB40AL
ENST00000263754	KAT2B
ENST00000171757	P2RY10
ENST00000239891	ALG5
ENST00000204961	EFNB1
ENST00000242249	RAMP3
ENST00000222402	UBE2D4
ENST00000216540	SLC10A1
ENST00000265872	CCAR1
ENST00000223145	GLCCI1
ENST00000216181	MYH9
ENST00000239347	IFNA7
ENST00000215832	MAPK1
ENST00000225296	DHX33
ENST00000201031	TFAP2C
ENST00000253362	BPIFA2
ENST00000259605	RNF38
ENST00000250101	TXNDC17
ENST00000252542	SAFB2
ENST00000240619	TAS2R10
ENST00000261349	LRP6
ENST00000217909	SLC25A43
ENST00000261245	MNAT1
ENST00000219409	ARHGDIG
ENST00000256196	RRAS2
ENST00000225519	SHPK
ENST00000242819	CCDC70
ENST00000225609	PIGL
ENST00000266458	GABARAPL1
ENST00000256404	PEBP4
ENST00000262102	MTUS1
ENST00000250076	ZNF232
ENST00000248121	SYNGR3
ENST00000221496	AMH
ENST00000262394	WSB1
ENST00000261249	TRMT5
ENST00000228434	CD69
ENST00000229402	KLRB1
ENST00000159111	KDM4B
ENST00000261340	CLEC2D
ENST00000255389	PEMT
ENST00000244763	SSR1
ENST00000225728	MED31
ENST00000252999	LAMA5
ENST00000217971	PGRMC1
ENST00000244745	SOX4
ENST00000268712	NCOR1
ENST00000207870	XYLB
ENST00000265748	ANLN
ENST00000248929	SGSM3
ENST00000245838	THOC2
ENST00000046087	ZPBP
ENST00000215862	MORC2
ENST00000268668	NDUFB10
ENST00000262961	ZFR2
ENST00000053243	TNFRSF17
ENST00000267273	METTL21C
ENST00000217381	SNTA1
ENST00000245312	SLC10A2
ENST00000054650	THAP3
ENST00000261381	XYLT1
ENST00000180166	FGF20
ENST00000078429	GNA11
ENST00000219478	ZNF500
ENST00000252997	GATA5
ENST00000255608	BTBD2
ENST00000217407	LBP
ENST00000250457	EGLN3
ENST00000267294	ZIC5
ENST00000261383	DNAH3
ENST00000261497	USP22
ENST00000244040	RAB22A
ENST00000266397	ERP27
ENST00000229304	APOBEC1
ENST00000258613	THSD1
ENST00000265651	FBXO3
ENST00000013222	INMT
ENST00000259711	KIF13A
ENST00000216068	DNAL4
ENST00000262109	ERICH1
ENST00000221957	PLIN3
ENST00000253003	ADRM1
ENST00000256999	FOLH1
ENST00000216160	TAB1
ENST00000261978	LTBP2
ENST00000266395	PDE6H
ENST00000261170	GUCY2C
ENST00000258770	TBRG4
ENST00000234371	KISS1R
ENST00000221132	TNFRSF10A
ENST00000262953	TLE2
ENST00000256362	VRTN
ENST00000253413	ATP6V1E1
ENST00000267569	JDP2
ENST00000247452	MAGEC2
ENST00000243918	SYS1
ENST00000075503	STYK1
ENST00000225729	DRG2
ENST00000254029	WDR44
ENST00000230582	PRSS16
ENST00000256343	CATSPERB
ENST00000238994	PPP1R3C
ENST00000261558	AP5M1
ENST00000240618	KLRK1
ENST00000250617	ARHGEF6
ENST00000261167	WBP11
ENST00000245451	BMP4
ENST00000238497	VPS4B
ENST00000263102	CCDC6
ENST00000262367	CREBBP
ENST00000216139	ACR
ENST00000261195	GYS2
ENST00000267430	FANCM
ENST00000217133	TUBB1
ENST00000251287	HCN2
ENST00000252512	XPO7
ENST00000223368	BCL7B
ENST00000225719	CPD
ENST00000263847	OSBP
ENST00000262738	CELSR1
ENST00000262101	MSR1
ENST00000244565	UNC5CL
ENST00000240691	TAS2R9
ENST00000167106	VASH1
ENST00000228936	ART4
ENST00000254528	EMILIN2
ENST00000261596	LPIN2
ENST00000216479	AHSA1
ENST00000257829	NAT10
ENST00000222005	CDC37
ENST00000216367	POLE2
ENST00000261714	BLMH
ENST00000217999	RHOXF1
ENST00000240687	TAS2R7
ENST00000248150	GNG13
ENST00000228938	MGP
ENST00000217652	MYL12A
ENST00000248600	STYXL1
ENST00000228799	ITFG2
ENST00000242776	DDX39A
ENST00000244020	SRSF6
ENST00000222120	RAB3D
ENST00000257198	DSC1
ENST00000266085	TIMP3
ENST00000218316	GPR50
ENST00000257192	DSG1
ENST00000265381	APBA1
ENST00000228567	SYT10
ENST00000262370	MGRN1
ENST00000217026	MYBL2
ENST00000266503	ARNTL2
ENST00000248073	OR7C1
ENST00000237937	ZFAND5
ENST00000192788	UHRF1BP1
ENST00000240100	DUSP4
ENST00000263035	DHTKD1
ENST00000175238	ADAM7
ENST00000263401	COMMD9
ENST00000267460	PELI2
ENST00000246081	OTOR
ENST00000244926	SCGB1D2
ENST00000240617	PLBD1
ENST00000225844	CCL13
ENST00000266304	TEF
ENST00000247026	NSRP1
ENST00000264930	SLC12A7
ENST00000216252	PHF5A
ENST00000265136	COBL
ENST00000253686	MRPS25
ENST00000244751	CPNE5
ENST00000248072	OR7C2
ENST00000221700	CYP4F2
ENST00000039989	TTC17
ENST00000216259	PMM1
ENST00000234590	ENO1
ENST00000219660	AQP8
ENST00000256261	DUSP26
ENST00000253159	ZNF236
ENST00000261374	HS3ST2
ENST00000229922	CAP2
ENST00000255499	RNF128
ENST00000217043	R3HDML
ENST00000166345	TRIP13
ENST00000221200	KCTD9
ENST00000254442	WDR7
ENST00000260356	THBS1
ENST00000228820	PARP11
ENST00000252506	GADD45G
ENST00000216027	HSCB
ENST00000156471	AQR
ENST00000217169	BIRC7
ENST00000264669	FASTKD3
ENST00000259365	TMOD1
ENST00000223641	SEC61B
ENST00000261537	MIB1
ENST00000256953	RERG
ENST00000259456	HEMGN
ENST00000263383	ILVBL
ENST00000261647	TTC19
ENST00000253270	SLC35D2
ENST00000262450	CHD5
ENST00000259400	STX17
ENST00000225388	NUFIP2
ENST00000241051	DEPDC7
ENST00000054666	VAMP3
ENST00000252318	GALNT8
ENST00000264954	GRPEL1
ENST00000264784	SLC2A9
ENST00000215061	OCEL1
ENST00000257264	TCN1
ENST00000225842	CCL1
ENST00000247706	ABHD8
ENST00000011898	TSPAN9
ENST00000246868	SBDS
ENST00000266383	B4GALNT3
ENST00000203664	OTUB2
ENST00000266025	TMEM115
ENST00000262096	ZDHHC2
ENST00000232461	GNAT1
ENST00000265362	SEMA3A
ENST00000263207	ARVCF
ENST00000265564	EXOSC7
ENST00000180173	MTMR7
ENST00000217182	EEF1A2
ENST00000263791	EIF2AK4
ENST00000266066	SFRP5
ENST00000265997	CPEB3
ENST00000217185	PTK6
ENST00000260762	EXOC6
ENST00000257894	FAM186B
ENST00000253968	BARX1
ENST00000256412	ADAMDEC1
ENST00000258774	HUS1
ENST00000187762	TMEM38A
ENST00000232501	NPRL2
ENST00000252590	PLVAP
ENST00000202017	PDRG1
ENST00000252136	TRMT2A
ENST00000265382	PIP5K1B
ENST00000261980	VSX2
ENST00000247271	OMG
ENST00000261593	RNF138
ENST00000182527	TRAM2
ENST00000246229	PLAGL2
ENST00000229812	STK38
ENST00000267377	SSTR1
ENST00000221114	DCTN6
ENST00000255764	MED10
ENST00000267889	DISP2
ENST00000263208	HIRA
ENST00000238609	IFI27L2
ENST00000262315	CHTF18
ENST00000261973	RBM25
ENST00000269051	RHBDL3
ENST00000259938	CLPS
ENST00000216968	PROCR
ENST00000257905	PPP1R1A
ENST00000268835	PRPSAP2
ENST00000240189	PRAMEF2
ENST00000235349	PRAMEF4
ENST00000246186	MMP24
ENST00000266534	TMEM117
ENST00000222248	SLC5A5
ENST00000256339	UNC79
ENST00000159087	ANO8
ENST00000237530	RPN2
ENST00000266041	ITIH4
ENST00000263384	FAM32A
ENST00000222547	BET1
ENST00000229307	NANOG
ENST00000262518	SRCAP
ENST00000262238	YY1
ENST00000244930	SCGB2A1
ENST00000231498	NUP155
ENST00000252575	NCAN
ENST00000269197	ASXL3
ENST00000249749	DLL4
ENST00000245663	ZBTB46
ENST00000247001	SUGP1
ENST00000262650	ITCH
ENST00000043402	RTN4R
ENST00000248879	DGCR6L
ENST00000226951	CLNK
ENST00000217289	FERMT1
ENST00000262455	ERP44
ENST00000261900	CCNT1
ENST00000219097	ORC6
ENST00000221671	C19orf44
ENST00000230053	B3GAT2
ENST00000229903	SAYSD1
ENST00000247161	ELK1
ENST00000256398	ELP3
ENST00000242108	EEPD1
ENST00000252597	USHBP1
ENST00000261303	PSMC1
ENST00000217121	TPD52L2
ENST00000218388	TIMP1
ENST00000210444	NANS
ENST00000259371	DAB2IP
ENST00000245457	PTGER2
ENST00000231420	AGXT2
ENST00000242067	BBS9
ENST00000232496	TUSC2
ENST00000249647	SNAP23
ENST00000227524	PRPF19
ENST00000265807	SH2D4A
ENST00000251203	PBX4
ENST00000235347	PRAMEF10
ENST00000256689	SLC38A2
ENST00000235372	PRDM2
ENST00000262794	MOV10L1
ENST00000255008	SSTR4
ENST00000217446	PIGU
ENST00000262640	VAMP7
ENST00000251864	TDRD1
ENST00000261879	APH1B
ENST00000244174	IL9R
ENST00000257867	LACRT
ENST00000265686	TCIRG1
ENST00000265069	ZFR
ENST00000262866	SLA2
ENST00000256079	IPO8
ENST00000217386	OXT
ENST00000217173	UBOX5
ENST00000248846	TUBGCP6
ENST00000266544	NDUFA9
ENST00000220676	RP1
ENST00000216271	HDAC10
ENST00000265732	RBM48
ENST00000264463	CDH10
ENST00000225873	PEX12
ENST00000265634	NPTX2
ENST00000230658	ISL1
ENST00000227918	SCGB2A2
ENST00000263026	EEF2K
ENST00000264866	TBC1D19
ENST00000261308	PPWD1
ENST00000265132	AMBP
ENST00000224356	CYP26A1
ENST00000162044	TMEM161A
ENST00000225831	CCL2
ENST00000209728	CDC6
ENST00000252252	KRT6B
ENST00000267584	AK7
ENST00000215659	MAPK12
ENST00000264639	PSMD3
ENST00000252804	PXDN
ENST00000262809	ELL
ENST00000202556	PPP1R13B
ENST00000246070	LAMP5
ENST00000265074	NPR3
ENST00000264867	PPARGC1A
ENST00000254480	SMARCC1
ENST00000163416	GOLGA5
ENST00000256759	FST
ENST00000254227	NR0B2
ENST00000252505	ALLC
ENST00000267549	GPR65
ENST00000005386	RPAP3
ENST00000260327	CTDSPL2
ENST00000230882	GHR
ENST00000217455	ACOT8
ENST00000243298	RAB9B
ENST00000261479	PSMA6
ENST00000268383	CDR2
ENST00000248633	PEX1
ENST00000255152	ZSWIM3
ENST00000227520	CCDC86
ENST00000261560	ZNF430
ENST00000215980	CENPM
ENST00000231021	CDH9
ENST00000222271	COMP
ENST00000261858	GLCE
ENST00000261304	GALC
ENST00000261893	LACTB
ENST00000040584	HOXC8
ENST00000221307	CYP4F3
ENST00000261592	NOL4
ENST00000216629	BDKRB1
ENST00000255784	CCDC134
ENST00000216106	HMGXB4
ENST00000254508	NUP210
ENST00000216122	MCM5
ENST00000254250	THAP1
ENST00000262384	N4BP1
ENST00000262105	MCM4
ENST00000262457	INVS
ENST00000216117	HMOX1
ENST00000225737	AKAP10
ENST00000246190	NECAB3
ENST00000251993	KIAA0930
ENST00000261658	BFAR
ENST00000257776	MRAP2
ENST00000223114	MOGAT3
ENST00000259466	OR1L4
ENST00000256257	RNF122
ENST00000220659	BRF2
ENST00000269053	SPACA3
ENST00000262241	RCOR1
ENST00000263897	USE1
ENST00000261439	TBC1D1
ENST00000260372	HAUS2
ENST00000203556	GMIP
ENST00000254079	PPP1R1B
ENST00000266086	SLC5A4
ENST00000263980	SLC9A1
ENST00000217402	CHMP4B
ENST00000265742	ANKIB1
ENST00000222543	TFPI2
ENST00000261835	CYP46A1
ENST00000257861	AVIL
ENST00000169551	TIMM21
ENST00000264658	FBXL20
ENST00000240587	TSHZ3
ENST00000264313	SLAIN2
ENST00000263681	POLD3
ENST00000262244	MOB3B
ENST00000252595	SLC27A1
ENST00000240499	ZNF141
ENST00000249861	THAP10
ENST00000233242	APOB
ENST00000040738	BOD1L1
ENST00000265769	ADAM28
ENST00000264664	FGF10
ENST00000246535	PDCD2L
ENST00000227507	CCND1
ENST00000262622	CHST8
ENST00000262207	CRISPLD1
ENST00000218089	STAG2
ENST00000260447	GCHFR
ENST00000266037	DOCK3
ENST00000178638	CA12
ENST00000219070	MMP2
ENST00000263697	DNAJC8
ENST00000251636	DHX29
ENST00000221166	NEFM
ENST00000253063	SESN2
ENST00000245983	GNRH2
ENST00000233121	MAPRE3
ENST00000263849	ZC2HC1A
ENST00000254066	RARA
ENST00000217131	CTSZ
ENST00000267594	FAM181A
ENST00000265627	PON3
ENST00000238647	IRF2BPL
ENST00000261881	TIPIN
ENST00000223095	SERPINE1
ENST00000222381	PON1
ENST00000222390	HGF
ENST00000237172	FILIP1
ENST00000229955	GPR63
ENST00000246657	CCR7
ENST00000263694	SNRNP40
ENST00000211314	TMEM14A
ENST00000244709	TREM1
ENST00000257749	BACH2
ENST00000229134	IL26
ENST00000239032	PRLHR
ENST00000261187	SLC16A7
ENST00000251020	SALL1
ENST00000220597	PAG1
ENST00000219244	CCL17
ENST00000260723	BTBD16
ENST00000258704	SPDYE1
ENST00000260402	PLCB2
ENST00000245121	KATNAL2
ENST00000253363	RBM39
ENST00000262942	ARPC1A
ENST00000257901	KRT85
ENST00000269143	AFG3L2
ENST00000262031	RBMS2
ENST00000248958	SDF2L1
ENST00000254286	ACTR10
ENST00000002596	HS3ST1
ENST00000265036	DEPDC1B
ENST00000227638	PANX1
ENST00000261416	HEXB
ENST00000215770	DDTL
ENST00000233535	SLC30A3
ENST00000244571	AARS2
ENST00000263321	TYR
ENST00000261590	DSG2
ENST00000236826	MMP8
ENST00000254072	KRTAP9-8
ENST00000256925	CABLES1
ENST00000238721	TP53I3
ENST00000265077	VCAN
ENST00000257700	RINT1
ENST00000216085	RHBDD3
ENST00000243673	GPR83
ENST00000260229	MMP27
ENST00000260128	SULF1
ENST00000267082	ITGB7
ENST00000196371	OXCT1
ENST00000262305	RAB11FIP3
ENST00000263464	BIRC3
ENST00000268058	PML
ENST00000262158	SMAD7
ENST00000269195	GALNT1
ENST00000265073	SUB1
ENST00000263317	NOX4
ENST00000252338	FAM155B
ENST00000266673	TMEM19
ENST00000219235	CCL22
ENST00000219169	NUTF2
ENST00000238789	ATAD2B
ENST00000258198	DYNC1LI2
ENST00000005178	PDK4
ENST00000252250	KRT6C
ENST00000216101	RASL10A
ENST00000259457	PSMB7
ENST00000263736	SRBD1
ENST00000231009	GZMK
ENST00000170564	GPATCH1
ENST00000218032	TLR8
ENST00000264914	ARSB
ENST00000257017	RAB33A
ENST00000253193	LRP3
ENST00000256104	FABP4
ENST00000219746	TOX3
ENST00000264005	LCAT
ENST00000223127	PLOD3
ENST00000216121	NIPSNAP1
ENST00000254051	TNS4
ENST00000234875	RPL22
ENST00000254043	KRT15
ENST00000251871	MED17
ENST00000265960	MAPKAP1
ENST00000263093	SLC27A5
ENST00000256897	CCNH
ENST00000260743	CALHM2
ENST00000228705	PPM1H
ENST00000252242	KRT5
ENST00000259467	PDCL
ENST00000255198	ZBED3
ENST00000233146	MSH2
ENST00000262134	LPCAT2
ENST00000265465	POLA2
ENST00000221804	CLC
ENST00000249396	SIRT2
ENST00000263666	PDZRN3
ENST00000216487	RIN3
ENST00000243662	RAB38
ENST00000265643	GAL
ENST00000219368	FA2H
ENST00000216410	GNPNAT1
ENST00000260227	MMP7
ENST00000260228	MMP20
ENST00000064780	RELT
ENST00000216144	CABP7
ENST00000268793	DPEP3
ENST00000250498	DAD1
ENST00000253024	TRIM28
ENST00000248564	GNG11
ENST00000263851	IL7
ENST00000265361	SEMA3C
ENST00000220507	RHOV
ENST00000249750	ALDH1A2
ENST00000267396	REM2
ENST00000215793	SF3A1
ENST00000263461	WDR11
ENST00000263881	MAP4K3
ENST00000249330	VGF
ENST00000247668	TRAF2
ENST00000265431	CALB1
ENST00000268802	NOB1
ENST00000199448	EPDR1
ENST00000221954	CEACAM4
ENST00000168712	FGF4
ENST00000256015	BTG1
ENST00000266263	MTFP1
ENST00000237353	PMFBP1
ENST00000215812	SEC14L3
ENST00000193391	IMPG2
ENST00000262415	DHX8
ENST00000222572	PON2
ENST00000257951	KRT84
ENST00000262053	ATF1
ENST00000255858	SEC14L4
ENST00000264716	FOSL2
ENST00000261205	SYT1
ENST00000260599	KHK
ENST00000221978	NKG7
ENST00000256441	MRPS36
ENST00000218104	ABCD1
ENST00000264705	CAD
ENST00000221992	CEACAM5
ENST00000265080	RASGRF2
ENST00000254260	RHPN2
ENST00000246635	KRT13
ENST00000217901	IDH3G
ENST00000222374	CADM4
ENST00000226004	DUSP3
ENST00000222345	SIPA1L3
ENST00000263918	STRN
ENST00000267842	SLC27A2
ENST00000262713	AJUBA
ENST00000215838	TCN2
ENST00000265843	EXPH5
ENST00000265070	GOLPH3
ENST00000221801	FBL
ENST00000230792	NUDT12
ENST00000258886	IREB2
ENST00000243938	WFDC3
ENST00000252245	KRT75
ENST00000262209	TRPA1
ENST00000262424	CRISPLD2
ENST00000225512	WNT3
ENST00000027335	CDH17
ENST00000249842	ISLR
ENST00000261917	HCN4
ENST00000264779	GPBP1
ENST00000261267	LYZ
ENST00000178640	MAP2K5
ENST00000256010	NTS
ENST00000262982	CSE1L
ENST00000238714	PAPOLG
ENST00000265403	UGT2B10
ENST00000265081	MSH3
ENST00000215754	MIF
ENST00000225916	KAT2A
ENST00000238855	AFTPH
ENST00000216733	EFS
ENST00000253023	UBE2M
ENST00000262507	COQ9
ENST00000167586	KRT14
ENST00000199764	CEACAM6
ENST00000216024	DMC1
ENST00000217159	SLCO4A1
ENST00000261918	SEMA7A
ENST00000268613	CDH13
ENST00000262903	HACE1
ENST00000253462	GINS2
ENST00000267938	UBE2Q2
ENST00000216034	TOMM22
ENST00000216044	GTPBP1
ENST00000252244	KRT1
ENST00000258169	MPHOSPH6
ENST00000265689	CHKA
ENST00000258214	CCDC102A
ENST00000266735	SNRPF
ENST00000226355	AFM
ENST00000256447	CD180
ENST00000246914	WNK4
ENST00000266070	DIDO1
ENST00000231749	ZMYND10
ENST00000259339	TOR1B
ENST00000044462	PSMA4
ENST00000265840	ELMOD1
ENST00000263100	A1BG
ENST00000244314	IRGC
ENST00000220669	ZFAND1
ENST00000261427	UBE2K
ENST00000224140	SETX
ENST00000254742	TMEM128
ENST00000256151	CCDC59
ENST00000261047	GUCA1C
ENST00000221797	LGALS13
ENST00000263196	DGCR2
ENST00000268933	EPN3
ENST00000254963	HSPA12B
ENST00000215057	MZF1
ENST00000221418	ECH1
ENST00000217195	C20orf27
ENST00000263674	ARHGEF17
ENST00000268053	CYP11A1
ENST00000259351	RALGPS1
ENST00000164227	BCL3
ENST00000261037	COL8A1
ENST00000086933	GSC2
ENST00000260126	SLCO5A1
ENST00000215882	SLC25A1
ENST00000260649	SLC3A1
ENST00000253122	SLC6A8
ENST00000215794	USP18
ENST00000268797	GFOD2
ENST00000203166	HAUS5
ENST00000260129	TGS1
ENST00000216492	CHGA
ENST00000220764	DECR1
ENST00000253055	MAP3K10
ENST00000258494	ALDH1L2
ENST00000261438	KLF3
ENST00000226524	PF4V1
ENST00000267615	ITPK1
ENST00000222693	CAV2
ENST00000248248	MON1B
ENST00000263672	SPCS2
ENST00000013070	UBR7
ENST00000244728	COL21A1
ENST00000216489	ALKBH1
ENST00000238112	CPSF3
ENST00000262894	ZNF225
ENST00000238561	ADCK1
ENST00000219454	WFDC1
ENST00000244137	PEPD
ENST00000268607	MAP1LC3B
ENST00000249356	DNAJB9
ENST00000217244	CSNK2A1
ENST00000249041	GALR3
ENST00000216392	PYGL
ENST00000264645	CASC3
ENST00000252677	BMP15
ENST00000229179	NUP107
ENST00000220325	EHD4
ENST00000218068	PAGE4
ENST00000215957	MICALL1
ENST00000256103	PMP2
ENST00000216254	ACO2
ENST00000241305	CPXM2
ENST00000263610	BARHL1
ENST00000234396	ATP6V1B1
ENST00000223500	CHMP5
ENST00000239316	INSL4
ENST00000259455	GABBR2
ENST00000265224	ANKRD7
ENST00000266126	EIF2B2
ENST00000265707	ADAM18
ENST00000221972	CD79A
ENST00000254691	CARD6
ENST00000261842	AP4E1
ENST00000226382	PHOX2B
ENST00000228741	ELK3
ENST00000238618	ACYP1
ENST00000268638	IRF8
ENST00000263925	LNX1
ENST00000264028	ARCN1
ENST00000229633	HINT3
ENST00000055335	PPP1R3F
